"item","name_literal","start_col","end_col","alignment","padding"
444,"Mult Tum Rpt as One Prim",577,578,"left"," "
445,"Date of Mult Tumors",579,586,"left"," "
439,"Date of Mult Tumors Flag",587,588,"left"," "
446,"Multiplicity Counter",589,590,"left"," "
545,"NPI--Reporting Facility",691,700,"left"," "
540,"Reporting Facility",701,710,"left"," "
3105,"NPI--Archive FIN",711,720,"left"," "
3100,"Archive FIN",721,730,"right","0"
550,"Accession Number--Hosp",731,739,"left"," "
560,"Sequence Number--Hospital",740,741,"right","0"
570,"Abstracted By",742,744,"left"," "
580,"Date of 1st Contact",745,752,"left"," "
581,"Date of 1st Contact Flag",753,754,"left"," "
590,"Date of Inpt Adm",755,762,"left"," "
591,"Date of Inpt Adm Flag",763,764,"left"," "
600,"Date of Inpt Disch",765,772,"left"," "
601,"Date of Inpt Disch Flag",773,774,"left"," "
605,"Inpatient Status",775,775,"left"," "
610,"Class of Case",776,777,"left"," "
630,"Primary Payer at DX",778,779,"right","0"
668,"RX Hosp--Surg App 2010",781,781,"left"," "
670,"RX Hosp--Surg Prim Site",782,783,"right","0"
672,"RX Hosp--Scope Reg LN Sur",784,784,"left"," "
674,"RX Hosp--Surg Oth Reg/Dis",785,785,"left"," "
676,"RX Hosp--Reg LN Removed",786,787,"left"," "
690,"RX Hosp--Radiation",789,789,"left"," "
700,"RX Hosp--Chemo",790,791,"right","0"
710,"RX Hosp--Hormone",792,793,"right","0"
720,"RX Hosp--BRM",794,795,"right","0"
730,"RX Hosp--Other",796,796,"left"," "
740,"RX Hosp--DX/Stg Proc",797,798,"right","0"
3280,"RX Hosp--Palliative Proc",799,799,"left"," "
746,"RX Hosp--Surg Site 98-02",800,801,"right","0"
747,"RX Hosp--Scope Reg 98-02",802,802,"left"," "
748,"RX Hosp--Surg Oth 98-02",803,803,"left"," "
759,"SEER Summary Stage 2000",904,904,"left"," "
760,"SEER Summary Stage 1977",905,905,"left"," "
780,"EOD--Tumor Size",906,908,"right","0"
790,"EOD--Extension",909,910,"right","0"
800,"EOD--Extension Prost Path",911,912,"right","0"
810,"EOD--Lymph Node Involv",913,913,"left"," "
820,"Regional Nodes Positive",914,915,"right","0"
830,"Regional Nodes Examined",916,917,"right","0"
840,"EOD--Old 13 Digit",918,930,"left"," "
850,"EOD--Old 2 Digit",931,932,"left"," "
860,"EOD--Old 4 Digit",933,936,"left"," "
870,"Coding System for EOD",937,937,"left"," "
1060,"TNM Edition Number",938,939,"right","0"
880,"TNM Path T",940,943,"left"," "
890,"TNM Path N",944,947,"left"," "
900,"TNM Path M",948,951,"left"," "
910,"TNM Path Stage Group",952,955,"left"," "
920,"TNM Path Descriptor",956,956,"left"," "
930,"TNM Path Staged By",957,957,"left"," "
940,"TNM Clin T",958,961,"left"," "
950,"TNM Clin N",962,965,"left"," "
960,"TNM Clin M",966,969,"left"," "
970,"TNM Clin Stage Group",970,973,"left"," "
980,"TNM Clin Descriptor",974,974,"left"," "
990,"TNM Clin Staged By",975,975,"left"," "
1120,"Pediatric Stage",976,977,"left"," "
1130,"Pediatric Staging System",978,979,"left"," "
1140,"Pediatric Staged By",980,980,"left"," "
1150,"Tumor Marker 1",981,981,"left"," "
1160,"Tumor Marker 2",982,982,"left"," "
1170,"Tumor Marker 3",983,983,"left"," "
1182,"Lymph-vascular Invasion",984,984,"left"," "
2800,"CS Tumor Size",985,987,"right","0"
2810,"CS Extension",988,990,"right","0"
2820,"CS Tumor Size/Ext Eval",991,991,"left"," "
2830,"CS Lymph Nodes",992,994,"right","0"
2840,"CS Lymph Nodes Eval",995,995,"left"," "
2850,"CS Mets at DX",996,997,"right","0"
2860,"CS Mets Eval",998,998,"left"," "
2851,"CS Mets at Dx-Bone",999,999,"left"," "
2852,"CS Mets at Dx-Brain",1000,1000,"left"," "
2853,"CS Mets at Dx-Liver",1001,1001,"left"," "
2854,"CS Mets at Dx-Lung",1002,1002,"left"," "
2880,"CS Site-Specific Factor 1",1003,1005,"right","0"
2890,"CS Site-Specific Factor 2",1006,1008,"right","0"
2900,"CS Site-Specific Factor 3",1009,1011,"right","0"
2910,"CS Site-Specific Factor 4",1012,1014,"right","0"
2920,"CS Site-Specific Factor 5",1015,1017,"right","0"
2930,"CS Site-Specific Factor 6",1018,1020,"right","0"
2861,"CS Site-Specific Factor 7",1021,1023,"right","0"
2862,"CS Site-Specific Factor 8",1024,1026,"right","0"
2863,"CS Site-Specific Factor 9",1027,1029,"right","0"
2864,"CS Site-Specific Factor10",1030,1032,"right","0"
2865,"CS Site-Specific Factor11",1033,1035,"right","0"
2866,"CS Site-Specific Factor12",1036,1038,"right","0"
2867,"CS Site-Specific Factor13",1039,1041,"right","0"
2868,"CS Site-Specific Factor14",1042,1044,"right","0"
2869,"CS Site-Specific Factor15",1045,1047,"right","0"
2870,"CS Site-Specific Factor16",1048,1050,"right","0"
2871,"CS Site-Specific Factor17",1051,1053,"right","0"
2872,"CS Site-Specific Factor18",1054,1056,"right","0"
2873,"CS Site-Specific Factor19",1057,1059,"right","0"
2874,"CS Site-Specific Factor20",1060,1062,"right","0"
2875,"CS Site-Specific Factor21",1063,1065,"right","0"
2876,"CS Site-Specific Factor22",1066,1068,"right","0"
2877,"CS Site-Specific Factor23",1069,1071,"right","0"
2878,"CS Site-Specific Factor24",1072,1074,"right","0"
2879,"CS Site-Specific Factor25",1075,1077,"right","0"
2730,"CS PreRx Tumor Size",1078,1080,"left"," "
2735,"CS PreRx Extension",1081,1083,"left"," "
2740,"CS PreRx Tum Sz/Ext Eval",1084,1084,"left"," "
2750,"CS PreRx Lymph Nodes",1085,1087,"left"," "
2755,"CS PreRx Reg Nodes Eval",1088,1088,"left"," "
2760,"CS PreRx Mets at DX",1089,1090,"left"," "
2765,"CS PreRx Mets Eval",1091,1091,"left"," "
2770,"CS PostRx Tumor Size",1092,1094,"left"," "
2775,"CS PostRx Extension",1095,1097,"left"," "
2780,"CS PostRx Lymph Nodes",1098,1100,"left"," "
2785,"CS PostRx Mets at DX",1101,1102,"left"," "
2940,"Derived AJCC-6 T",1103,1104,"left"," "
2950,"Derived AJCC-6 T Descript",1105,1105,"left"," "
2960,"Derived AJCC-6 N",1106,1107,"left"," "
2970,"Derived AJCC-6 N Descript",1108,1108,"left"," "
2980,"Derived AJCC-6 M",1109,1110,"left"," "
2990,"Derived AJCC-6 M Descript",1111,1111,"left"," "
3000,"Derived AJCC-6 Stage Grp",1112,1113,"left"," "
3400,"Derived AJCC-7 T",1114,1116,"left"," "
3402,"Derived AJCC-7 T Descript",1117,1117,"left"," "
3410,"Derived AJCC-7 N",1118,1120,"left"," "
3412,"Derived AJCC-7 N Descript",1121,1121,"left"," "
3420,"Derived AJCC-7 M",1122,1124,"left"," "
3422,"Derived AJCC-7 M Descript",1125,1125,"left"," "
3430,"Derived AJCC-7 Stage Grp",1126,1128,"left"," "
3440,"Derived PreRx-7 T",1129,1131,"left"," "
3442,"Derived PreRx-7 T Descrip",1132,1132,"left"," "
3450,"Derived PreRx-7 N",1133,1135,"left"," "
3452,"Derived PreRx-7 N Descrip",1136,1136,"left"," "
3460,"Derived PreRx-7 M",1137,1139,"left"," "
3462,"Derived PreRx-7 M Descrip",1140,1140,"left"," "
3470,"Derived PreRx-7 Stage Grp",1141,1143,"left"," "
3480,"Derived PostRx-7 T",1144,1146,"left"," "
3482,"Derived PostRx-7 N",1147,1149,"left"," "
3490,"Derived PostRx-7 M",1150,1151,"left"," "
3492,"Derived PostRx-7 Stge Grp",1152,1154,"left"," "
3010,"Derived SS1977",1155,1155,"left"," "
3020,"Derived SS2000",1156,1156,"left"," "
3600,"Derived Neoadjuv Rx Flag",1157,1157,"left"," "
3030,"Derived AJCC--Flag",1158,1158,"left"," "
3040,"Derived SS1977--Flag",1159,1159,"left"," "
3050,"Derived SS2000--Flag",1160,1160,"left"," "
2937,"CS Version Input Current",1161,1166,"left"," "
2935,"CS Version Input Original",1167,1172,"left"," "
2936,"CS Version Derived",1173,1178,"left"," "
3700,"SEER Site-Specific Fact 1",1179,1179,"left"," "
3702,"SEER Site-Specific Fact 2",1180,1180,"left"," "
3704,"SEER Site-Specific Fact 3",1181,1181,"left"," "
3706,"SEER Site-Specific Fact 4",1182,1182,"left"," "
3708,"SEER Site-Specific Fact 5",1183,1183,"left"," "
3710,"SEER Site-Specific Fact 6",1184,1184,"left"," "
3165,"ICD Revision Comorbid",1185,1185,"left"," "
3110,"Comorbid/Complication 1",1186,1190,"left","0"
3120,"Comorbid/Complication 2",1191,1195,"left","0"
3130,"Comorbid/Complication 3",1196,1200,"left","0"
3140,"Comorbid/Complication 4",1201,1205,"left","0"
3150,"Comorbid/Complication 5",1206,1210,"left","0"
3160,"Comorbid/Complication 6",1211,1215,"left","0"
3161,"Comorbid/Complication 7",1216,1220,"left","0"
3162,"Comorbid/Complication 8",1221,1225,"left","0"
3163,"Comorbid/Complication 9",1226,1230,"left","0"
3164,"Comorbid/Complication 10",1231,1235,"left","0"
3780,"Secondary Diagnosis 1",1236,1242,"left"," "
3782,"Secondary Diagnosis 2",1243,1249,"left"," "
3784,"Secondary Diagnosis 3",1250,1256,"left"," "
3786,"Secondary Diagnosis 4",1257,1263,"left"," "
3788,"Secondary Diagnosis 5",1264,1270,"left"," "
3790,"Secondary Diagnosis 6",1271,1277,"left"," "
3792,"Secondary Diagnosis 7",1278,1284,"left"," "
3794,"Secondary Diagnosis 8",1285,1291,"left"," "
3796,"Secondary Diagnosis 9",1292,1298,"left"," "
3798,"Secondary Diagnosis 10",1299,1305,"left"," "
1260,"Date Initial RX SEER",1436,1443,"left"," "
1261,"Date Initial RX SEER Flag",1444,1445,"left"," "
1270,"Date 1st Crs RX CoC",1446,1453,"left"," "
1271,"Date 1st Crs RX CoC Flag",1454,1455,"left"," "
1200,"RX Date Surgery",1456,1463,"left"," "
1201,"RX Date Surgery Flag",1464,1465,"left"," "
3170,"RX Date Mst Defn Srg",1466,1473,"left"," "
3171,"RX Date Mst Defn Srg Flag",1474,1475,"left"," "
3180,"RX Date Surg Disch",1476,1483,"left"," "
3181,"RX Date Surg Disch Flag",1484,1485,"left"," "
1210,"RX Date Radiation",1486,1493,"left"," "
1211,"RX Date Radiation Flag",1494,1495,"left"," "
3220,"RX Date Rad Ended",1496,1503,"left"," "
3221,"RX Date Rad Ended Flag",1504,1505,"left"," "
3230,"RX Date Systemic",1506,1513,"left"," "
3231,"RX Date Systemic Flag",1514,1515,"left"," "
1220,"RX Date Chemo",1516,1523,"left"," "
1221,"RX Date Chemo Flag",1524,1525,"left"," "
1230,"RX Date Hormone",1526,1533,"left"," "
1231,"RX Date Hormone Flag",1534,1535,"left"," "
1240,"RX Date BRM",1536,1543,"left"," "
1241,"RX Date BRM Flag",1544,1545,"left"," "
1250,"RX Date Other",1546,1553,"left"," "
1251,"RX Date Other Flag",1554,1555,"left"," "
1280,"RX Date DX/Stg Proc",1556,1563,"left"," "
1281,"RX Date DX/Stg Proc Flag",1564,1565,"left"," "
1285,"RX Summ--Treatment Status",1566,1566,"left"," "
1290,"RX Summ--Surg Prim Site",1567,1568,"right","0"
1292,"RX Summ--Scope Reg LN Sur",1569,1569,"left"," "
1294,"RX Summ--Surg Oth Reg/Dis",1570,1570,"left"," "
1296,"RX Summ--Reg LN Examined",1571,1572,"right","0"
1310,"RX Summ--Surgical Approch",1573,1573,"left"," "
1320,"RX Summ--Surgical Margins",1574,1574,"left"," "
1330,"RX Summ--Reconstruct 1st",1575,1575,"left"," "
1340,"Reason for No Surgery",1576,1576,"left"," "
1350,"RX Summ--DX/Stg Proc",1577,1578,"right","0"
3270,"RX Summ--Palliative Proc",1579,1579,"left"," "
1360,"RX Summ--Radiation",1580,1580,"left"," "
1370,"RX Summ--Rad to CNS",1581,1581,"left"," "
1380,"RX Summ--Surg/Rad Seq",1582,1582,"left"," "
3250,"RX Summ--Transplnt/Endocr",1583,1584,"right","0"
1390,"RX Summ--Chemo",1585,1586,"right","0"
1400,"RX Summ--Hormone",1587,1588,"right","0"
1410,"RX Summ--BRM",1589,1590,"right","0"
1420,"RX Summ--Other",1591,1591,"left"," "
1430,"Reason for No Radiation",1592,1592,"left"," "
1460,"RX Coding System--Current",1593,1594,"right","0"
1510,"Rad--Regional Dose: cGy",1596,1600,"right","0"
1520,"Rad--No of Treatment Vol",1601,1603,"right","0"
1540,"Rad--Treatment Volume",1604,1605,"right","0"
1550,"Rad--Location of RX",1606,1606,"left"," "
1570,"Rad--Regional RX Modality",1607,1608,"right","0"
3200,"Rad--Boost RX Modality",1609,1610,"right","0"
3210,"Rad--Boost Dose cGy",1611,1615,"right","0"
1639,"RX Summ--Systemic/Sur Seq",1616,1616,"left"," "
1640,"RX Summ--Surgery Type",1617,1618,"right","0"
3190,"Readm Same Hosp 30 Days",1619,1619,"left"," "
1646,"RX Summ--Surg Site 98-02",1620,1621,"right","0"
1647,"RX Summ--Scope Reg 98-02",1622,1622,"left"," "
1648,"RX Summ--Surg Oth 98-02",1623,1623,"left"," "
1660,"Subsq RX 2nd Course Date",1724,1731,"left"," "
1661,"Subsq RX 2ndCrs Date Flag",1732,1733,"left"," "
1671,"Subsq RX 2nd Course Surg",1734,1735,"right","0"
1677,"Subsq RX 2nd--Scope LN SU",1736,1736,"left"," "
1678,"Subsq RX 2nd--Surg Oth",1737,1737,"left"," "
1679,"Subsq RX 2nd--Reg LN Rem",1738,1739,"right","0"
1672,"Subsq RX 2nd Course Rad",1740,1740,"left"," "
1673,"Subsq RX 2nd Course Chemo",1741,1741,"left"," "
1674,"Subsq RX 2nd Course Horm",1742,1742,"left"," "
1675,"Subsq RX 2nd Course BRM",1743,1743,"left"," "
1676,"Subsq RX 2nd Course Oth",1744,1744,"left"," "
1680,"Subsq RX 3rd Course Date",1745,1752,"left"," "
1681,"Subsq RX 3rdCrs Date Flag",1753,1754,"left"," "
1691,"Subsq RX 3rd Course Surg",1755,1756,"right","0"
1697,"Subsq RX 3rd--Scope LN Su",1757,1757,"left"," "
1698,"Subsq RX 3rd--Surg Oth",1758,1758,"left"," "
1699,"Subsq RX 3rd--Reg LN Rem",1759,1760,"right","0"
1692,"Subsq RX 3rd Course Rad",1761,1761,"left"," "
1693,"Subsq RX 3rd Course Chemo",1762,1762,"left"," "
1694,"Subsq RX 3rd Course Horm",1763,1763,"left"," "
1695,"Subsq RX 3rd Course BRM",1764,1764,"left"," "
1696,"Subsq RX 3rd Course Oth",1765,1765,"left"," "
1700,"Subsq RX 4th Course Date",1766,1773,"left"," "
1701,"Subsq RX 4thCrs Date Flag",1774,1775,"left"," "
1711,"Subsq RX 4th Course Surg",1776,1777,"right","0"
1717,"Subsq RX 4th--Scope LN Su",1778,1778,"left"," "
1718,"Subsq RX 4th--Surg Oth",1779,1779,"left"," "
1719,"Subsq RX 4th--Reg LN Rem",1780,1781,"right","0"
1712,"Subsq RX 4th Course Rad",1782,1782,"left"," "
1713,"Subsq RX 4th Course Chemo",1783,1783,"left"," "
1714,"Subsq RX 4th Course Horm",1784,1784,"left"," "
1715,"Subsq RX 4th Course BRM",1785,1785,"left"," "
1716,"Subsq RX 4th Course Oth",1786,1786,"left"," "
1741,"Subsq RX--Reconstruct Del",1787,1787,"left"," "
1981,"Over-ride SS/NodesPos",1888,1888,"left"," "
1982,"Over-ride SS/TNM-N",1889,1889,"left"," "
1983,"Over-ride SS/TNM-M",1890,1890,"left"," "
1985,"Over-ride Acsn/Class/Seq",1891,1891,"left"," "
1986,"Over-ride HospSeq/DxConf",1892,1892,"left"," "
1987,"Over-ride CoC-Site/Type",1893,1893,"left"," "
1988,"Over-ride HospSeq/Site",1894,1894,"left"," "
1989,"Over-ride Site/TNM-StgGrp",1895,1895,"left"," "
1990,"Over-ride Age/Site/Morph",1896,1896,"left"," "
2000,"Over-ride SeqNo/DxConf",1897,1897,"left"," "
2010,"Over-ride Site/Lat/SeqNo",1898,1898,"left"," "
2020,"Over-ride Surg/DxConf",1899,1899,"left"," "
2030,"Over-ride Site/Type",1900,1900,"left"," "
2040,"Over-ride Histology",1901,1901,"left"," "
2050,"Over-ride Report Source",1902,1902,"left"," "
2060,"Over-ride Ill-define Site",1903,1903,"left"," "
2070,"Over-ride Leuk, Lymphoma",1904,1904,"left"," "
2071,"Over-ride Site/Behavior",1905,1905,"left"," "
2072,"Over-ride Site/EOD/DX Dt",1906,1906,"left"," "
2073,"Over-ride Site/Lat/EOD",1907,1907,"left"," "
2074,"Over-ride Site/Lat/Morph",1908,1908,"left"," "
1960,"Site (73-91) ICD-O-1",1909,1912,"left"," "
1971,"Histology (73-91) ICD-O-1",1913,1916,"left"," "
1972,"Behavior (73-91) ICD-O-1",1917,1917,"left"," "
1973,"Grade (73-91) ICD-O-1",1918,1918,"left"," "
1980,"ICD-O-2 Conversion Flag",1919,1919,"left"," "
2081,"CRC CHECKSUM",1920,1929,"left"," "
2120,"SEER Coding Sys--Current",1930,1930,"left"," "
2130,"SEER Coding Sys--Original",1931,1931,"left"," "
2140,"CoC Coding Sys--Current",1932,1933,"right","0"
2150,"CoC Coding Sys--Original",1934,1935,"right","0"
2170,"Vendor Name",1936,1945,"left"," "
2180,"SEER Type of Follow-Up",1946,1946,"left"," "
2190,"SEER Record Number",1947,1948,"right","0"
2200,"Diagnostic Proc 73-87",1949,1950,"left"," "
2085,"Date Case Initiated",1951,1958,"left"," "
2090,"Date Case Completed",1959,1966,"left"," "
2092,"Date Case Completed--CoC",1967,1974,"left"," "
2100,"Date Case Last Changed",1975,1982,"left"," "
2110,"Date Case Report Exported",1983,1990,"left"," "
2111,"Date Case Report Received",1991,1998,"left"," "
2112,"Date Case Report Loaded",1999,2006,"left"," "
2113,"Date Tumor Record Availbl",2007,2014,"left"," "
2116,"ICD-O-3 Conversion Flag",2015,2015,"left"," "
3750,"Over-ride CS 1",2016,2016,"left"," "
3751,"Over-ride CS 2",2017,2017,"left"," "
3752,"Over-ride CS 3",2018,2018,"left"," "
3753,"Over-ride CS 4",2019,2019,"left"," "
3754,"Over-ride CS 5",2020,2020,"left"," "
3755,"Over-ride CS 6",2021,2021,"left"," "
3756,"Over-ride CS 7",2022,2022,"left"," "
3757,"Over-ride CS 8",2023,2023,"left"," "
3758,"Over-ride CS 9",2024,2024,"left"," "
3759,"Over-ride CS 10",2025,2025,"left"," "
3760,"Over-ride CS 11",2026,2026,"left"," "
3761,"Over-ride CS 12",2027,2027,"left"," "
3762,"Over-ride CS 13",2028,2028,"left"," "
3763,"Over-ride CS 14",2029,2029,"left"," "
3764,"Over-ride CS 15",2030,2030,"left"," "
3765,"Over-ride CS 16",2031,2031,"left"," "
3766,"Over-ride CS 17",2032,2032,"left"," "
3767,"Over-ride CS 18",2033,2033,"left"," "
3768,"Over-ride CS 19",2034,2034,"left"," "
3769,"Over-ride CS 20",2035,2035,"left"," "
1750,"Date of Last Contact",2116,2123,"left"," "
1751,"Date of Last Contact Flag",2124,2125,"left"," "
1760,"Vital Status",2126,2126,"left"," "
1770,"Cancer Status",2127,2127,"left"," "
1780,"Quality of Survival",2128,2128,"left"," "
1790,"Follow-Up Source",2129,2129,"left"," "
1800,"Next Follow-Up Source",2130,2130,"left"," "
1810,"Addr Current--City",2131,2180,"left"," "
1820,"Addr Current--State",2181,2182,"left"," "
1830,"Addr Current--Postal Code",2183,2191,"left"," "
1840,"County--Current",2192,2194,"right","0"
1860,"Recurrence Date--1st",2196,2203,"left"," "
1861,"Recurrence Date--1st Flag",2204,2205,"left"," "
1880,"Recurrence Type--1st",2206,2207,"right","0"
1842,"Follow-Up Contact--City",2208,2257,"left"," "
1844,"Follow-Up Contact--State",2258,2259,"left"," "
1846,"Follow-Up Contact--Postal",2260,2268,"left"," "
1910,"Cause of Death",2269,2272,"left"," "
1920,"ICD Revision Number",2273,2273,"left"," "
1930,"Autopsy",2274,2274,"left"," "
1940,"Place of Death",2275,2277,"right","0"
1791,"Follow-up Source Central",2278,2279,"left"," "
1755,"Date of Death--Canada",2280,2287,"left"," "
1756,"Date of Death--CanadaFlag",2288,2289,"left"," "
1850,"Unusual Follow-Up Method",2290,2291,"left"," "
2230,"Name--Last",3340,3379,"left"," "
2240,"Name--First",3380,3419,"left"," "
2250,"Name--Middle",3420,3459,"left"," "
2260,"Name--Prefix",3460,3462,"left"," "
2270,"Name--Suffix",3463,3465,"left"," "
2280,"Name--Alias",3466,3505,"left"," "
2390,"Name--Maiden",3506,3545,"left"," "
2290,"Name--Spouse/Parent",3546,3605,"left"," "
2300,"Medical Record Number",3606,3616,"right"," "
2310,"Military Record No Suffix",3617,3618,"right","0"
2320,"Social Security Number",3619,3627,"left"," "
2330,"Addr at DX--No & Street",3628,3687,"left"," "
2335,"Addr at DX--Supplementl",3688,3747,"left"," "
2350,"Addr Current--No & Street",3748,3807,"left"," "
2355,"Addr Current--Supplementl",3808,3867,"left"," "
2360,"Telephone",3868,3877,"left"," "
2380,"DC State File Number",3878,3883,"left"," "
2394,"Follow-Up Contact--Name",3884,3943,"left"," "
2392,"Follow-Up Contact--No&St",3944,4003,"left"," "
2393,"Follow-Up Contact--Suppl",4004,4063,"left"," "
2352,"Latitude",4064,4073,"right"," "
2354,"Longitude",4074,4084,"right"," "
2445,"NPI--Following Registry",4285,4294,"left"," "
2440,"Following Registry",4295,4304,"right","0"
2415,"NPI--Inst Referred From",4305,4314,"left"," "
2410,"Institution Referred From",4315,4324,"right","0"
2425,"NPI--Inst Referred To",4325,4334,"left"," "
2420,"Institution Referred To",4335,4344,"right","0"
2465,"NPI--Physician--Managing",4395,4404,"left"," "
2460,"Physician--Managing",4405,4412,"left"," "
2475,"NPI--Physician--Follow-Up",4413,4422,"left"," "
2470,"Physician--Follow-Up",4423,4430,"left"," "
2485,"NPI--Physician--Primary Surg",4431,4440,"left"," "
2480,"Physician--Primary Surg",4441,4448,"left"," "
2495,"NPI--Physician 3",4449,4458,"left"," "
2490,"Physician 3",4459,4466,"left"," "
2505,"NPI--Physician 4",4467,4476,"left"," "
2500,"Physician 4",4477,4484,"left"," "
7010,"Path Reporting Fac ID 1",4535,4559,"left"," "
7090,"Path Report Number 1",4560,4579,"left"," "
7320,"Path Date Spec Collect 1",4580,4593,"left"," "
7480,"Path Report Type 1",4594,4595,"right","0"
7190,"Path Ordering Fac No 1",4596,4620,"left"," "
7100,"Path Order Phys Lic No 1",4621,4640,"left"," "
7011,"Path Reporting Fac ID 2",4641,4665,"left"," "
7091,"Path Report Number 2",4666,4685,"left"," "
7321,"Path Date Spec Collect 2",4686,4699,"left"," "
7481,"Path Report Type 2",4700,4701,"right","0"
7191,"Path Ordering Fac No 2",4702,4726,"left"," "
7101,"Path Order Phys Lic No 2",4727,4746,"left"," "
7012,"Path Reporting Fac ID 3",4747,4771,"left"," "
7092,"Path Report Number 3",4772,4791,"left"," "
7322,"Path Date Spec Collect 3",4792,4805,"left"," "
7482,"Path Report Type 3",4806,4807,"right","0"
7192,"Path Ordering Fac No 3",4808,4832,"left"," "
7102,"Path Order Phys Lic No 3",4833,4852,"left"," "
7013,"Path Reporting Fac ID 4",4853,4877,"left"," "
7093,"Path Report Number 4",4878,4897,"left"," "
7323,"Path Date Spec Collect 4",4898,4911,"left"," "
7483,"Path Report Type 4",4912,4913,"right","0"
7193,"Path Ordering Fac No 4",4914,4938,"left"," "
7103,"Path Order Phys Lic No 4",4939,4958,"left"," "
7014,"Path Reporting Fac ID 5",4959,4983,"left"," "
7094,"Path Report Number 5",4984,5003,"left"," "
7324,"Path Date Spec Collect 5",5004,5017,"left"," "
7484,"Path Report Type 5",5018,5019,"right","0"
7194,"Path Ordering Fac No 5",5020,5044,"left"," "
7104,"Path Order Phys Lic No 5",5045,5064,"left"," "
2520,"Text--DX Proc--PE",5565,6564,"left"," "
2530,"Text--DX Proc--X-ray/Scan",6565,7564,"left"," "
2540,"Text--DX Proc--Scopes",7565,8564,"left"," "
