name,scheme
multTumRptAsOnePrim,multTumRptAsOnePrim
multigeneSignatureMethod,multigeneSignatureMethod
naaccrRecordVersion,naaccrRecordVersion
nextFollowUpSource,nextFollowUpSource
nhiaDerivedHispOrigin,spanishHispanicOrigin
occupationSource,occupationSource
oncotypeDxRiskLevelDcis,oncotypeDxRiskLevelDcis
oncotypeDxRiskLevelInvasive,oncotypeDxRiskLevelInvasive
overRideAgeSiteMorph,overRideAgeSiteMorph
overRideCs20,overRideCs20
overRideHistology,overRideHistology
pathReportType1,path_report_type
pathReportType2,path_report_type
pathReportType3,path_report_type
pathReportType4,path_report_type
pathReportType5,path_report_type
pediatricStage,pediatricStage
pediatricStagedBy,pediatricStagedBy
pediatricStagingSystem,pediatricStagingSystem
peripheralBloodInvolvement,peripheralBloodInvolvement
peritonealCytology,peritonealCytology
phase1RadiationExternalBeamPlanningTech,radiation_external_beam_planning_tech
phase1RadiationPrimaryTreatmentVolume,radiation_primary_volume
phase1RadiationToDrainingLymphNodes,draining_lymph_nodes
phase1RadiationTreatmentModality,radiation_modality
phase2RadiationExternalBeamPlanningTech,radiation_external_beam_planning_tech
phase2RadiationPrimaryTreatmentVolume,radiation_primary_volume
phase2RadiationToDrainingLymphNodes,draining_lymph_nodes
phase2RadiationTreatmentModality,radiation_modality
phase3RadiationExternalBeamPlanningTech,radiation_external_beam_planning_tech
phase3RadiationPrimaryTreatmentVolume,radiation_primary_volume
phase3RadiationToDrainingLymphNodes,draining_lymph_nodes
phase3RadiationTreatmentModality,radiation_modality
placeOfDeath,place
placeOfDeathCountry,iso_country
placeOfDeathState,state
pleuralEffusion,pleuralEffusion
primaryPayerAtDx,primaryPayerAtDx
profoundImmuneSuppression,profoundImmuneSuppression
prostatePathologicalExtension,prostatePathologicalExtension
qualityOfSurvival,qualityOfSurvival
race1,race
race2,race
race3,race
race4,race
race5,race
raceCodingSysCurrent,race_coding_system
raceCodingSysOriginal,race_coding_system
raceNapiia,race
radBoostRxModality,radBoostRxModality
radLocationOfRx,radLocationOfRx
radRegionalRxModality,radRegionalRxModality
radTreatmentVolume,radTreatmentVolume
radiationTreatmentDiscontinuedEarly,radiationTreatmentDiscontinuedEarly
readmSameHosp30Days,readmSameHosp30Days
reasonForNoRadiation,reasonForNoRadiation
reasonForNoSurgery,reasonForNoSurgery
recordType,recordType
recurrenceType1st,recurrenceType1st
registryType,registryType
residualTumorVolumePostCytoreduction,residualTumorVolumePostCytoreduction
responseToNeoadjuvantTherapy,responseToNeoadjuvantTherapy
rqrsNcdbSubmissionFlag,rqrsNcdbSubmissionFlag
ruca2000,ruca
ruca2010,ruca
ruralurbanContinuum1993,ruralurbanContinuum1993
ruralurbanContinuum2003,ruralurbanContinuum2003
ruralurbanContinuum2013,ruralurbanContinuum2013
rxCodingSystemCurrent,rxCodingSystemCurrent
rxHospBrm,rx_summary_brm
rxHospChemo,rx_summary_chemo
rxHospDxStgProc,rxHospDxStgProc
rxHospHormone,rx_summary_hormone
rxHospOther,rx_summary_other
rxHospPalliativeProc,rx_summary_palliative
rxHospRadiation,rxHospRadiation
rxHospScopeRegLnSur,rx_summary_lymph_surgery
rxHospSurgApp2010,rxHospSurgApp2010
rxHospSurgOthRegDis,rx_summary_other_regional_distant
rxSummBrm,rx_summary_brm
rxSummChemo,rx_summary_chemo
rxSummDxStgProc,rxSummDxStgProc
rxSummHormone,rx_summary_hormone
rxSummOther,rx_summary_other
rxSummPalliativeProc,rx_summary_palliative
rxSummRadToCns,rxSummRadToCns
rxSummRadiation,rxSummRadiation
rxSummScopeRegLnSur,rx_summary_lymph_surgery
rxSummSurgOthRegDis,rx_summary_other_regional_distant
rxSummSurgRadSeq,rxSummSurgRadSeq
rxSummSurgicalMargins,rxSummSurgicalMargins
rxSummSystemicSurSeq,rxSummSystemicSurSeq
rxSummTransplntEndocr,rxSummTransplntEndocr
rxSummTreatmentStatus,rxSummTreatmentStatus
sCategoryClinical,s_category
sCategoryPathological,s_category
seerCodingSysCurrent,seer_coding_system
seerCodingSysOriginal,seer_coding_system
seerSummaryStage1977,seer_summary_stage
seerSummaryStage2000,seer_summary_stage
seerTypeOfFollowUp,seerTypeOfFollowUp
separateTumorNodules,separateTumorNodules
serumAlbuminPretreatmentLevel,serumAlbuminPretreatmentLevel
serumBeta2MicroglobulinPretreatmentLevel,serumBeta2MicroglobulinPretreatmentLevel
sex,sex
siteCodingSysCurrent,site_coding_system
siteCodingSysOriginal,site_coding_system
spanishHispanicOrigin,spanishHispanicOrigin
subsqRx2ndCourseBrm,roads_rx_brm
subsqRx3rdCourseBrm,roads_rx_brm
subsqRx4thCourseBrm,roads_rx_brm
summaryStage2018,seer_summary_stage_2018
survFlagActiveFollowup,survival_flag
survFlagPresumedAlive,survival_flag
thrombocytopenia,thrombocytopenia
tnmClinDescriptor,tnm_descriptor
tnmClinStagedBy,tnm_staged_by
tnmEditionNumber,tnmEditionNumber
tnmPathDescriptor,tnm_descriptor
tnmPathStagedBy,tnm_staged_by
tumorGrowthPattern,tumorGrowthPattern
tumorMarker1,tumor_marker
tumorMarker2,tumor_marker
tumorMarker3,tumor_marker
typeOfReportingSource,typeOfReportingSource
uric2000,uric
uric2010,uric
visceralAndParietalPleuralInvasion,visceralAndParietalPleuralInvasion
