"code","label","means_missing","description"
"840","other health care services",FALSE,"Other health care services"
"831","hospitals",FALSE,"Hospitals"
"832","nursing care facilities",FALSE,"Nursing care facilities (skilled nursing facilities)"
"870","residential care facilities",FALSE,"Residential care facilities, except skilled nursing facilities"
"871","individual and family services",FALSE,"Individual and family services"
"871","community food and housing, and emergency services",FALSE,"Community food and housing, and emergency services"
"861","vocational rehabilitation services",FALSE,"Vocational rehabilitation services"
"862","child day care services",FALSE,"Child day care services"
"863","NANA",FALSE,
"810","performing arts, spectator sports, and related industries",FALSE,"Performing arts, spectator sports, and related industries"
"872","museums, art galleries, historical sites, and similar institutions",FALSE,"Museums, art galleries, historical sites, and similar institutions"
"802","bowling centers",FALSE,"Bowling centers"
"810","other amusement, gambling, and recreation industries",FALSE,"Other amusement, gambling, and recreation industries"
"762","traveler accommodation",FALSE,"Traveler accommodation"
"770","recreational vehicle parks and camps, and rooming and boarding houses",FALSE,"Recreational vehicle parks and camps, and rooming and boarding houses"
"641","restaurants and other food services",FALSE,"Restaurants and other food services"
"641","drinking places, alcoholic beverages",FALSE,"Drinking places, alcoholic beverages"
"751","automotive repair and maintenance",FALSE,"Automotive repair and maintenance"
"750","car washes",FALSE,"Car washes"
"752","electronic and precision equipment repair and maintenance",FALSE,"Electronic and precision equipment repair and maintenance"
"760","commercial and industrial machinery and equipment repair and maintenance",FALSE,"Commercial and industrial machinery and equipment repair and maintenance"
"760","personal and household goods repair and maintenance",FALSE,"Personal and household goods repair and maintenance"
"790","NANA",FALSE,
"782","footwear and leather goods repair",FALSE,"Footwear and leather goods repair"
"780","barber shops",FALSE,"Barber shops"
"772","beauty salons",FALSE,"Beauty salons"
"772","nail salons and other personal care services",FALSE,"Nail salons and other personal care services"
"771","drycleaning and laundry services",FALSE,"Drycleaning and laundry services"
"781","funeral homes, and cemeteries and crematories",FALSE,"Funeral homes, and cemeteries and crematories"
"791","other personal services",FALSE,"Other personal services"
"880","religious organizations",FALSE,"Religious organizations"
"881","civic, social, advocacy organizations, and grantmaking and giving services",FALSE,"Civic, social, advocacy organizations, and grantmaking and giving services"
"873","labor unions",FALSE,"Labor unions"
"881","business, professional, political, and similar organizations",FALSE,"Business, professional, political, and similar organizations"
"761","private households",FALSE,"Private households"
"900","executive offices and legislative bodies",FALSE,"Executive offices and legislative bodies"
"921","public finance activities",FALSE,"Public finance activities"
"901","other general government and support",FALSE,"Other general government and support"
"910","justice, public order, and safety activities",FALSE,"Justice, public order, and safety activities"
"922","administration of human resource programs",FALSE,"Administration of human resource programs"
"930","administration of environmental quality and housing programs",FALSE,"Administration of environmental quality and housing programs"
"931","administration of economic programs and space research",FALSE,"Administration of economic programs and space research"
"932","national security and international affairs",FALSE,"National security and international affairs"
"940","U.S. Army",FALSE,"U. S. Army"
"941","U.S. Air Force",FALSE,"U. S. Air Force"
"942","U.S. Navy",FALSE,"U. S. Navy"
"950","U.S. Marines",FALSE,"U. S. Marines"
"951","U.S. Coast Guard",FALSE,"U. S. Coast Guard"
"952","armed forces, branch not specified",FALSE,"Armed Forces, Branch not specified"
"960","Military Reserves or National Guard",FALSE,"Military Reserves or National Guard"
"992","unemployed and last worked five years ago or earlier or never worked",FALSE,"Unemployed and last worked five years ago or earlier or never worked"
"017","crop production",FALSE,"Crop production"
"018","animal production and aquaculture",FALSE,"Animal production and aquaculture"
"019","forestry",FALSE,"Forestry except logging"
"027","logging",FALSE,"Logging"
"028","fishing, hunting and trapping",FALSE,"Fishing, hunting and trapping"
"029","support activities for agriculture and forestry",FALSE,"Support activities for agriculture and forestry"
"037","oil and gas extraction",FALSE,"Oil and gas extraction"
"038","coal mining",FALSE,"Coal mining"
"039","metal ore mining",FALSE,"Metal ore mining"
"047","nonmetallic mineral mining and quarrying",FALSE,"Nonmetallic mineral mining and quarrying"
"048","not specified type of mining",FALSE,"Not specified type of mining"
"049","support activities for mining",FALSE,"Support activities for mining"
"057","electric power generation, transmission and distribution",FALSE,"Electric power generation, transmission and distribution"
"058","natural gas distribution",FALSE,"Natural gas distribution"
"059","electric and gas, and other combinations",FALSE,"Electric and gas, and other combinations"
"067","water, steam, air-conditioning, and irrigation systems",FALSE,"Water, steam, air-conditioning, and irrigation systems"
"068","sewage treatment facilities",FALSE,"Sewage treatment facilities"
"069","not specified utilities",FALSE,"Not specified utilities"
"077","construction",FALSE,"Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction)"
"107","animal food, grain and oilseed milling",FALSE,"Animal food, grain and oilseed milling"
"108","sugar and confectionery products",FALSE,"Sugar and confectionery products"
"109","fruit and vegetable preserving and specialty food manufacturing",FALSE,"Fruit and vegetable preserving and specialty food manufacturing"
"117","dairy product manufacturing",FALSE,"Dairy product manufacturing"
"118","animal slaughtering and processing",FALSE,"Animal slaughtering and processing"
"119","retail bakeries",FALSE,"Retail bakeries"
"127","bakeries and tortilla manufacturing",FALSE,"Bakeries and tortilla manufacturing, except retail bakeries"
"128","seafood and other miscellaneous foods",FALSE,"Seafood and other miscellaneous foods, n.e.c."
"129","not specified food industries",FALSE,"Not specified food industries"
"137","beverage manufacturing",FALSE,"Beverage manufacturing"
"139","tobacco manufacturing",FALSE,"Tobacco manufacturing"
"147","fiber, yarn, and thread mills",FALSE,"Fiber, yarn, and thread mills"
"148","fabric mills",FALSE,"Fabric mills, except knitting mills"
"149","textile and fabric finishing and fabric coating mills",FALSE,"Textile and fabric finishing and fabric coating mills"
"157","carpet and rug mills",FALSE,"Carpet and rug mills"
"159","textile product mills",FALSE,"Textile product mills, except carpet and rug"
"167","knitting fabric mills, and apparel knitting mills",FALSE,"Knitting fabric mills, and apparel knitting mills"
"168","cut and sew apparel manufacturing",FALSE,"Cut and sew apparel manufacturing"
"169","apparel accessories and other apparel manufacturing",FALSE,"Apparel accessories and other apparel manufacturing"
"177","footwear manufacturing",FALSE,"Footwear manufacturing"
"179","leather tanning and finishing and other allied products manufacturing",FALSE,"Leather tanning and finishing and other allied products manufacturing"
"187","pulp, paper, and paperboard mills",FALSE,"Pulp, paper, and paperboard mills"
"188","paperboard container manufacturing",FALSE,"Paperboard container manufacturing"
"189","miscellaneous paper and pulp products",FALSE,"Miscellaneous paper and pulp products"
"199","printing and related support activities",FALSE,"Printing and related support activities"
"207","petroleum refining",FALSE,"Petroleum refining"
"209","miscellaneous petroleum and coal products",FALSE,"Miscellaneous petroleum and coal products"
"217","resin, synthetic rubber, and fibers and filaments manufacturing",FALSE,"Resin, synthetic rubber, and fibers and filaments manufacturing"
"218","agricultural chemical manufacturing",FALSE,"Agricultural chemical manufacturing"
"219","pharmaceutical and medicine manufacturing",FALSE,"Pharmaceutical and medicine manufacturing"
"227","paint, coating, and adhesive manufacturing",FALSE,"Paint, coating, and adhesive manufacturing"
"228","soap, cleaning compound, and cosmetics manufacturing",FALSE,"Soap, cleaning compound, and cosmetics manufacturing"
"229","industrial and miscellaneous chemicals",FALSE,"Industrial and miscellaneous chemicals"
"237","plastics product manufacturing",FALSE,"Plastics product manufacturing"
"238","tire manufacturing",FALSE,"Tire manufacturing"
"239","rubber products manufacturing",FALSE,"Rubber products, except tires, manufacturing"
"247","pottery, ceramics, and plumbing fixture manufacturing",FALSE,"Pottery, ceramics, and plumbing fixture manufacturing"
"248","clay building material and refractories manufacturing",FALSE,"Clay building material and refractories manufacturing"
"249","glass and glass product manufacturing",FALSE,"Glass and glass product manufacturing"
"257","cement, concrete, lime, and gypsum product manufacturing",FALSE,"Cement, concrete, lime, and gypsum product manufacturing"
"259","miscellaneous nonmetallic mineral product manufacturing",FALSE,"Miscellaneous nonmetallic mineral product manufacturing"
"267","iron and steel mills and steel product manufacturing",FALSE,"Iron and steel mills and steel product manufacturing"
"268","aluminum production and processing",FALSE,"Aluminum production and processing"
"269","nonferrous metal production and processing",FALSE,"Nonferrous metal (except aluminum) production and processing"
"277","foundries",FALSE,"Foundries"
"278","metal forgings and stampings",FALSE,"Metal forgings and stampings"
"279","cutlery and hand tool manufacturing",FALSE,"Cutlery and hand tool manufacturing"
"287","structural metals, and boiler, tank, and shipping container manufacturing",FALSE,"Structural metals, and boiler, tank, and shipping container manufacturing"
"288","machine shops; turned product; screw, nut, and bolt manufacturing",FALSE,"Machine shops; turned product; screw, nut, and bolt manufacturing"
"289","coating, engraving, heat treating, and allied activities",FALSE,"Coating, engraving, heat treating, and allied activities"
"297","ordnance",FALSE,"Ordnance"
"298","miscellaneous fabricated metal products manufacturing",FALSE,"Miscellaneous fabricated metal products manufacturing"
"299","not specified metal industries",FALSE,"Not specified metal industries"
"307","agricultural implement manufacturing",FALSE,"Agricultural implement manufacturing"
"308","construction, and mining and oil and gas field machinery manufacturing",FALSE,"Construction, and mining and oil and gas field machinery manufacturing"
"309","commercial and service industry machinery manufacturing",FALSE,"Commercial and service industry machinery manufacturing"
"317","metalworking machinery manufacturing",FALSE,"Metalworking machinery manufacturing"
"318","engine, turbine, and power transmission equipment manufacturing",FALSE,"Engine, turbine, and power transmission equipment manufacturing"
"319","machinery manufacturing",FALSE,"Machinery manufacturing, n.e.c."
"329","not specified machinery manufacturing",FALSE,"Not specified machinery manufacturing"
"336","computer and peripheral equipment manufacturing",FALSE,"Computer and peripheral equipment manufacturing"
"337","communications, and audio and video equipment manufacturing",FALSE,"Communications, and audio and video equipment manufacturing"
"338","navigational, measuring, electromedical, and control instruments manufacturing",FALSE,"Navigational, measuring, electromedical, and control instruments manufacturing"
"339","electronic component and product manufacturing",FALSE,"Electronic component and product manufacturing, n.e.c."
"347","household appliance manufacturing",FALSE,"Household appliance manufacturing"
"349","electric lighting and electrical equipment manufacturing, and other electrical component manufacturing",FALSE,"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c."
"357","motor vehicles and motor vehicle equipment manufacturing",FALSE,"Motor vehicles and motor vehicle equipment manufacturing"
"358","aircraft and parts manufacturing",FALSE,"Aircraft and parts manufacturing"
"359","aerospace products and parts manufacturing",FALSE,"Aerospace products and parts manufacturing"
"367","railroad rolling stock manufacturing",FALSE,"Railroad rolling stock manufacturing"
"368","ship and boat building",FALSE,"Ship and boat building"
"369","other transportation equipment manufacturing",FALSE,"Other transportation equipment manufacturing"
"377","sawmills and wood preservation",FALSE,"Sawmills and wood preservation"
"378","veneer, plywood, and engineered wood products",FALSE,"Veneer, plywood, and engineered wood products"
"379","prefabricated wood buildings and mobile homes manufacturing",FALSE,"Prefabricated wood buildings and mobile homes manufacturing"
"387","miscellaneous wood products",FALSE,"Miscellaneous wood products"
"389","furniture and related product manufacturing",FALSE,"Furniture and related product manufacturing"
"396","medical equipment and supplies manufacturing",FALSE,"Medical equipment and supplies manufacturing"
"397","sporting and athletic goods, and doll, toy and game manufacturing",FALSE,"Sporting and athletic goods, and doll, toy and game manufacturing"
"398","miscellaneous manufacturing",FALSE,"Miscellaneous manufacturing, n.e.c."
"399","not specified manufacturing industries",FALSE,"Not specified manufacturing industries"
"407","motor vehicle and motor vehicle parts and supplies merchant wholesalers",FALSE,"Motor vehicle and motor vehicle parts and supplies merchant wholesalers"
"408","furniture and home furnishing merchant wholesalers",FALSE,"Furniture and home furnishing merchant wholesalers"
"409","lumber and other construction materials merchant wholesalers",FALSE,"Lumber and other construction materials merchant wholesalers"
"417","professional and commercial equipment and supplies merchant wholesalers",FALSE,"Professional and commercial equipment and supplies merchant wholesalers"
"418","metals and minerals merchant wholesalers",FALSE,"Metals and minerals, except petroleum, merchant wholesalers"
"419","household appliances and electrical and electronic goods merchant wholesalers",FALSE,"Household appliances and electrical and electronic goods merchant wholesalers"
"426","hardware, plumbing and heating equipment, and supplies merchant wholesalers",FALSE,"Hardware, plumbing and heating equipment, and supplies merchant wholesalers"
"427","machinery, equipment, and supplies merchant wholesalers",FALSE,"Machinery, equipment, and supplies merchant wholesalers"
"428","recyclable material merchant wholesalers",FALSE,"Recyclable material merchant wholesalers"
"429","miscellaneous durable goods merchant wholesalers",FALSE,"Miscellaneous durable goods merchant wholesalers"
"437","paper and paper products merchant wholesalers",FALSE,"Paper and paper products merchant wholesalers"
"438","drugs, sundries, and chemical and allied products merchant  wholesalers",FALSE,"Drugs, sundries, and chemical and allied products merchant  wholesalers"
